approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
20.0,0,63.0,2.22,False,0.0,0.0,0,500.0,True,1.45,13.9,106.0,46.0,2,50
110.0,1,136.0,4.8,True,3.15,0.0,5,1300.0,True,3.5,50.9,116.0,61.8,2,150
60.0,0,93.8,3.28,False,2.0,0.0,0,850.0,True,2.4,36.4,70.0,70.0,2,100
220.0,1,124.0,4.37,True,5.0,0.0,1,1500.0,True,4.3,60.5,128.0,68.0,2,250
110.0,1,144.0,5.08,True,5.0,0.0,0,1300.0,True,3.5,50.6,116.0,62.2,2,150
80.0,1,120.0,4.23,True,2.0,0.0,0,1300.0,True,2.8,38.5,110.0,57.4,2,100
100.0,1,123.0,4.34,True,3.15,0.0,5,1300.0,True,3.2,46.5,112.0,58.6,2,100
130.0,1,123.0,4.34,True,3.15,0.0,5,1300.0,True,3.2,46.5,112.0,58.6,2,150
80.0,1,100.7,3.53,True,2.0,0.0,0,1000.0,True,2.8,38.1,110.0,58.0,2,100
50.0,0,152.6066606544705,4.75924591863177,False,2.0,0.0,0,850.0,True,2.4,33.5,101.5,52.5,2,50
30.0,0,62.0,2.19,False,0.0,0.0,0,500.0,True,1.45,13.9,106.0,46.0,2,50
70.0,0,113.0,3.99,False,2.0,0.0,0,850.0,True,2.4,35.8,70.6,70.6,2,100
40.0,0,109.2,3.84,False,0.0,0.0,0,670.0,True,2.2,27.0,109.0,51.0,2,50
50.0,0,85.0,3.0,False,2.0,0.0,0,850.0,True,2.83,41.1,103.0,58.6,2,50
30.0,0,60.0,2.12,False,0.0,0.0,0,650.0,True,1.5,14.9,106.0,46.0,2,50
150.0,0,105.0,3.7,False,2.0,0.0,0,850.0,True,2.8,34.7,118.5,59.0,2,150
140.0,0,103.0,3.63,False,2.0,0.0,0,850.0,True,2.2,23.2,111.0,58.2,2,150
130.0,0,82.0,2.89,False,1.3,0.0,0,750.0,True,2.4,35.5,96.0,52.4,2,150
50.0,0,82.0,2.89,False,1.3,0.0,0,750.0,True,1.8,23.4,94.3,46.2,2,50
30.0,0,73.0,2.57,False,0.0,0.0,0,650.0,True,1.8,24.9,91.0,45.0,2,50
20.0,0,63.0,2.22,False,0.0,0.0,0,650.0,True,1.5,14.9,106.0,46.0,2,50
20.0,0,63.0,2.22,False,0.0,0.0,0,650.0,True,1.3,10.3,106.0,46.0,2,50
40.0,0,90.0,3.17,False,1.3,0.0,0,750.0,True,1.8,21.6,105.0,44.9,2,50
50.0,0,73.0,2.57,False,0.0,0.0,0,650.0,True,1.8,25.3,90.5,44.5,2,50
100.0,0,75.0,2.65,False,1.3,0.0,0,750.0,True,1.9,21.0,104.0,52.0,2,100
120.0,0,99.0,3.49,False,1.3,0.0,0,700.0,True,1.9,23.9,95.0,50.0,2,150
